id,device_name,vendor,category,modified,price_usd,price_basis,price_quality,price_as_of,msrp_usd,memory_capacity_gb,gpu_addressable_memory_note,local_memory_bandwidth_gbs,memory_type,fp16_tflops,tensor_tflops,cuda_supported,standalone_system,pcie,nvlink,thunderbolt5,connectx7,capacity_sharding,tensor_parallel,caveats
rtx3060_12gb,RTX 3060 12GB,NVIDIA,discrete GPU,no,280,current retail / active street pricing,high,2026-08,329,12,12GB GDDR6 VRAM,360,GDDR6,13.0,52.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,Most affordable 12GB CUDA card for entry-level 7B/8B model inference.
rtx4060ti_16gb,RTX 4060 Ti 16GB,NVIDIA,discrete GPU,no,449,current retail pricing,high,2026-08,499,16,16GB GDDR6 VRAM,288,GDDR6,22.1,177.0,yes,no,PCIe 4.0 x8,no,no,no,yes,yes,"16GB VRAM at low power (165W), but 128-bit bus limits bandwidth to 288 GB/s."
rtx2080ti_22_mod,RTX 2080 Ti 22GB mod,NVIDIA,discrete GPU,yes,499,current pre-modded asking price reported from eBay seller,medium,2026-08,,22,22GB modded VRAM; unofficial configuration,616,GDDR6,26.9,107.5,yes,no,PCIe 3.0 x16,yes,no,no,yes,yes,Unofficial memory mod. Preserves stock 352-bit bus width. Turing NVLink supported with bridge.
rtx3080_20_mod,RTX 3080 20GB mod,NVIDIA,discrete GPU,yes,659,current eBay asking price,medium,2026-08,,20,20GB modded VRAM; unofficial configuration,760,GDDR6X,29.8,119.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,Unofficial 20GB configuration. No NVLink on RTX 3080.
rtx4070ts_16gb,RTX 4070 Ti Super 16GB,NVIDIA,discrete GPU,no,780,current retail example,high,2026-08,799,16,16GB GDDR6X VRAM,672,GDDR6X,44.1,353.0,yes,no,PCIe 4.0 x16,no,no,no,yes,yes,256-bit bus with 672 GB/s bandwidth and modern 4th Gen Tensor Cores (FP8 transformer engine).
rx7900xtx_24gb,Radeon RX 7900 XTX 24GB,AMD,discrete GPU,no,899,current retail price,high,2026-08,999,24,24GB GDDR6 VRAM,960,GDDR6,61.4,123.0,no,no,PCIe 4.0 x16,no,no,no,yes,possible,960 GB/s bandwidth for under $900. High raw memory throughput via ROCm / llama.cpp / Vulkan.
titan_rtx,TITAN RTX 24GB,NVIDIA,discrete GPU,no,900,representative current used eBay asking price,medium,2026-08,2499,24,24GB VRAM,672,GDDR6,32.6,130.5,yes,no,PCIe 3.0 x16,yes,no,no,yes,yes,Official 24GB Turing card. 100 GB/s bidirectional NVLink allows dual 48GB capacity sharding.
rtx3090,RTX 3090 24GB,NVIDIA,discrete GPU,no,1200,representative current used-market estimate,medium,2026-08,1499,24,24GB VRAM,936,GDDR6X,35.6,142.0,yes,no,PCIe 4.0 x16,yes,no,no,yes,yes,High local bandwidth per dollar among 24GB consumer cards (936 GB/s). Has hardware NVLink bridge support.
r9700,Radeon AI PRO R9700 32GB,AMD,discrete GPU,no,1399.99,current Micro Center retail example,high,2026-08,1299,32,32GB dedicated VRAM,640,GDDR6,58.0,116.0,no,no,PCIe 5.0 x16,no,no,no,yes,possible,AMD workstation card with 32GB VRAM and PCIe 5.0. ROCm software stack dependent.
mac_mini_m4pro_64,Mac Mini M4 Pro 64GB,Apple,unified-memory system,no,2199,Apple direct M4 Pro 64GB configuration,high,2026-08,2199,64,64GB unified memory,273,unified LPDDR5X,28.0,45.0,no,yes,integrated SoC,no,yes,no,yes,yes,"High capacity per dollar for Apple Silicon ($2,199 for 64GB unified RAM). Includes CPU & mobo."
