id,name,creator,category,release_date,total_params_b,active_params_b,context_window_str,intelligence_index,aa_mmlu_pro,aa_gpqa,aa_math_500,aa_coding_humaneval,output_speed_tok_s,description,mem_fp16_gb,mem_q8_gb,mem_q6_gb,mem_q5_gb,mem_q4_gb,mem_q3_gb,mem_q2_gb
qwen_3_8_27b_instruct,Qwen 3.8 27B Instruct,Alibaba Qwen,Dense General,2026-02-15,27.5,27.5,128k,54.2,76.8,58.4,88.2,89.6,55,"High-demand next-gen 27.5B dense model delivering exceptional reasoning, coding, and mathematical fluency in a 24GB-32GB GPU footprint.",61.3,34.3,27.6,23.6,20.2,16.2,13.1
qwen_3_8_coder_27b,Qwen 3.8 Coder 27B,Alibaba Qwen,Dense Code Specialist,2026-02-18,27.5,27.5,128k,55.0,77.2,57.8,89.4,93.4,55,"Premier open coding model optimized for multi-file repository generation, bug repair, and SWE-bench tasks.",61.3,34.3,27.6,23.6,20.2,16.2,13.1
qwen_3_8_math_27b,Qwen 3.8 Math 27B,Alibaba Qwen,Dense Math Specialist,2026-02-19,27.5,27.5,64k,56.4,78.5,62.1,92.5,84.2,55,Specialized mathematical powerhouse outperforming 70B models on AIME 2024 and Olympiad competitions.,61.3,34.3,27.6,23.6,20.2,16.2,13.1
qwen_3_8_32b_instruct,Qwen 3.8 32B Instruct,Alibaba Qwen,Dense General,2026-02-20,32.5,32.5,128k,55.6,78.9,60.5,90.1,90.8,48,Flagship 32B dense model providing an optimal balance of throughput and high-tier reasoning on 24GB-48GB VRAM.,71.8,39.9,32.0,27.3,23.2,18.5,14.8
qwen_3_8_72b_instruct,Qwen 3.8 72B Instruct,Alibaba Qwen,Dense General,2026-02-22,72.7,72.7,128k,57.1,81.2,64.0,92.8,92.4,24,Frontier 72B dense open-weights model challenging proprietary cloud APIs across all reasoning and academic benchmarks.,159.0,87.4,69.9,59.3,50.1,39.7,31.3
qwen_3_8_max,Qwen 3.8 Max (2.4T MoE),Alibaba Qwen,Frontier MoE,2026-02-25,2400.0,95.0,256k,58.0,83.4,66.8,94.6,94.0,18,Next-generation 2.4T parameter MoE activating 95B per token. SOTA open general intelligence for large clusters.,5052.8,2690.3,2111.6,1761.8,1457.3,1114.4,837.8
qwq_32b_preview,QwQ 32B Preview (Reasoning),Alibaba Qwen,Dense Reasoning,2024-11-28,32.5,32.5,32k,52.4,74.5,56.1,86.4,86.0,46,State-of-the-art open reasoning model using Chain-of-Thought; rivals OpenAI o1-preview on MATH 500 and GPQA Diamond.,71.8,39.9,32.0,27.3,23.2,18.5,14.8
qwen_2_5_coder_32b,Qwen 2.5 Coder 32B Instruct,Alibaba Qwen,Dense Code Specialist,2024-11-12,32.5,32.5,128k,49.8,70.8,51.4,83.2,92.7,48,Gold standard open-source coding model. Matches GPT-4o in Python and SWE-bench code generation.,71.8,39.9,32.0,27.3,23.2,18.5,14.8
qwen_2_5_72b_instruct,Qwen 2.5 72B Instruct,Alibaba Qwen,Dense General,2024-09-19,72.7,72.7,128k,48.9,69.5,49.8,83.1,86.4,24,"Frontier open dense model with exceptional multilingual, coding, and mathematical reasoning.",159.0,87.4,69.9,59.3,50.1,39.7,31.3
qwen_2_5_32b_instruct,Qwen 2.5 32B Instruct,Alibaba Qwen,Dense General,2024-09-19,32.5,32.5,128k,44.3,63.8,44.2,78.4,82.3,48,Sweet-spot model for 24GB–48GB local hardware setups. High speed with top-tier reasoning.,71.8,39.9,32.0,27.3,23.2,18.5,14.8
qwen_2_5_14b_instruct,Qwen 2.5 14B Instruct,Alibaba Qwen,Dense General,2024-09-19,14.7,14.7,128k,40.5,58.6,39.5,73.2,77.8,78,High-efficiency 14B model that runs comfortably on 12GB–16GB VRAM consumer GPUs.,34.5,20.0,16.5,14.3,12.4,10.3,8.7
qwen_2_5_coder_14b,Qwen 2.5 Coder 14B Instruct,Alibaba Qwen,Dense Code Specialist,2024-11-12,14.7,14.7,128k,43.1,62.4,42.0,76.5,84.5,78,Exceptional coding performance in a compact 14B footprint for single 16GB GPUs.,34.5,20.0,16.5,14.3,12.4,10.3,8.7
qwen_2_5_coder_7b,Qwen 2.5 Coder 7B Instruct,Alibaba Qwen,Dense Code Specialist,2024-11-12,7.6,7.6,128k,38.6,54.2,36.4,71.0,79.2,125,Ultra-fast local coding assistant; runs at >100 tok/s on 8GB–12GB VRAM cards.,18.0,10.5,8.6,7.5,6.6,5.5,4.6
qwen_2_5_7b_instruct,Qwen 2.5 7B Instruct,Alibaba Qwen,Dense General,2024-09-19,7.6,7.6,128k,36.8,51.5,34.2,68.4,72.1,125,"Lightweight general model for edge devices, budget GPUs, and high-concurrency serving.",18.0,10.5,8.6,7.5,6.6,5.5,4.6
qwen_2_5_math_72b,Qwen 2.5 Math 72B Instruct,Alibaba Qwen,Dense Math Specialist,2024-09-19,72.7,72.7,32k,51.5,73.8,55.4,87.2,81.0,24,SOTA specialized mathematics reasoning model scoring 85%+ on MATH-500.,159.0,87.4,69.9,59.3,50.1,39.7,31.3
qwen_2_5_vl_72b,Qwen 2.5 VL 72B Instruct,Alibaba Qwen,Vision-Language Multimodal,2025-01-27,72.7,72.7,128k,49.5,70.2,51.0,82.5,85.0,22,"Frontier vision-language model with document understanding, visual coding, and diagram reasoning.",159.0,87.4,69.9,59.3,50.1,39.7,31.3
deepseek_r1_671b,DeepSeek R1 (671B MoE),DeepSeek AI,Frontier MoE Reasoning,2025-01-20,671.0,37.0,128k,50.8,72.8,54.2,85.8,87.5,14,Full open-weights reasoning model trained via large-scale reinforcement learning; matches OpenAI o1.,1421.9,761.4,599.6,501.8,416.7,320.8,243.5
deepseek_v3_671b,DeepSeek V3 (671B MoE),DeepSeek AI,Frontier MoE,2024-12-26,671.0,37.0,128k,48.6,69.1,49.2,81.6,86.2,16,Frontier 671B MoE with Multi-head Latent Attention (MLA) and DeepSeekMoE architecture.,1421.9,761.4,599.6,501.8,416.7,320.8,243.5
deepseek_v4_pro,DeepSeek V4 Pro (1.6T MoE),DeepSeek AI,Next-Gen MoE,2026-03-01,1600.0,64.0,1M,53.2,75.6,57.0,88.0,90.5,15,Next-generation 1.6T MoE model with native 1M context window and ultra-dense expert routing.,3372.8,1797.8,1412.0,1178.8,975.8,747.2,562.8
deepseek_r1_distill_qwen_32b,DeepSeek R1 Distill Qwen 32B,DeepSeek AI,Dense Reasoning Distill,2025-01-20,32.5,32.5,128k,47.8,68.2,48.6,82.4,85.1,48,DeepSeek R1 reasoning knowledge distilled into Qwen 2.5 32B base. SOTA for 24GB–48GB VRAM.,71.8,39.9,32.0,27.3,23.2,18.5,14.8
deepseek_r1_distill_llama_70b,DeepSeek R1 Distill Llama 70B,DeepSeek AI,Dense Reasoning Distill,2025-01-20,70.6,70.6,128k,49.2,70.4,50.8,84.6,86.8,24,R1 reasoning knowledge distilled into Llama 3.3 70B. Superb mathematical proofs and code.,154.6,85.1,68.0,57.7,48.8,38.7,30.6
deepseek_r1_distill_qwen_14b,DeepSeek R1 Distill Qwen 14B,DeepSeek AI,Dense Reasoning Distill,2025-01-20,14.7,14.7,128k,42.8,61.5,41.5,75.8,80.2,78,Reasoning distilled into 14B. Fits in 16GB GPUs while outperforming previous 70B bases.,34.5,20.0,16.5,14.3,12.4,10.3,8.7
deepseek_r1_distill_qwen_7b,DeepSeek R1 Distill Qwen 7B,DeepSeek AI,Dense Reasoning Distill,2025-01-20,7.6,7.6,128k,38.5,54.0,36.2,70.5,76.4,125,7B reasoning model capable of solving complex algorithmic puzzles locally on budget GPUs.,18.0,10.5,8.6,7.5,6.6,5.5,4.6
llama_4_scout_109b,Llama 4 Scout (109B MoE),Meta AI,MoE Long-Context,2026-01-15,109.0,17.0,10M,54.5,77.4,59.2,89.0,91.2,38,Next-gen MoE architecture with unprecedented 10M token context window and native multimodal reasoning.,235.2,127.9,101.6,85.7,71.9,56.3,43.8
llama_3_3_70b_instruct,Llama 3.3 70B Instruct,Meta AI,Dense General,2024-12-06,70.6,70.6,128k,48.4,68.9,49.0,81.2,85.7,24,Upgraded 70B powerhouse delivering Llama 3.1 405B level capabilities in a 70B parameter size.,154.6,85.1,68.0,57.7,48.8,38.7,30.6
llama_3_1_405b_instruct,Llama 3.1 405B Instruct,Meta AI,Frontier Dense,2024-07-23,405.0,405.0,128k,52.1,74.0,55.8,86.0,89.0,4,Meta's flagship 405B open dense model for high-rigor synthetic data generation and distillation.,863.3,464.6,367.0,307.9,256.6,198.7,152.0
llama_3_1_8b_instruct,Llama 3.1 8B Instruct,Meta AI,Dense General,2024-07-23,8.0,8.0,128k,35.2,49.5,32.8,65.4,70.0,120,"The industry standard 8B model for local agents, tool use, and high-speed inference.",18.8,10.9,9.0,7.8,6.8,5.7,4.8
llama_3_2_11b_vision,Llama 3.2 11B Vision,Meta AI,Vision-Language Multimodal,2024-09-25,11.0,11.0,128k,37.5,52.8,35.0,67.8,73.5,95,"Multimodal visual reasoning model for image understanding, chart comprehension, and captioning.",25.1,14.3,11.6,10.0,8.6,7.0,5.8
gemma_4_31b_it,Gemma 4 31B Instruct,Google DeepMind,Dense General,2026-02-10,31.0,31.0,256k,48.0,68.4,48.5,80.5,84.8,50,Next-gen DeepMind open-weights model built with cutting-edge architectural advances from Gemini.,68.7,38.2,30.7,26.2,22.3,17.8,14.3
gemma_3_27b_it,Gemma 3 27B Instruct,Google DeepMind,Dense General,2025-02-28,27.2,27.2,128k,43.0,62.0,42.5,76.2,80.0,56,High-efficiency 27B model trained on extensive multilingual and synthetic datasets.,60.7,33.9,27.4,23.4,20.0,16.1,13.0
gemma_3_12b_it,Gemma 3 12B Instruct,Google DeepMind,Dense General,2025-02-28,12.0,12.0,128k,39.2,55.4,37.8,71.5,75.2,90,Ideal balance of memory compactness and reasoning capabilities for 16GB consumer cards.,27.2,15.4,12.5,10.7,9.2,7.5,6.1
gemma_2_27b_it,Gemma 2 27B Instruct,Google DeepMind,Dense General,2024-06-27,27.2,27.2,8k,41.5,59.8,40.2,74.0,78.4,56,Trained with knowledge distillation from Gemini models; punches well above its parameter weight.,60.7,33.9,27.4,23.4,20.0,16.1,13.0
gemma_2_9b_it,Gemma 2 9B Instruct,Google DeepMind,Dense General,2024-06-27,9.2,9.2,8k,36.0,50.4,33.5,66.8,71.0,110,Proven 9B architecture with sliding-window attention and logit capping.,21.3,12.3,10.0,8.7,7.5,6.2,5.2
mistral_large_2,Mistral Large 2 (123B),Mistral AI,Dense General,2024-07-24,123.0,123.0,128k,48.2,68.6,48.7,80.8,86.0,16,"Frontier 123B model with exceptional reasoning, 80+ coding languages, and multilingual fluency.",264.6,143.5,113.9,95.9,80.3,62.8,48.6
codestral_24b,Codestral 24B Instruct,Mistral AI,Dense Code Specialist,2024-05-29,24.0,24.0,32k,45.0,64.5,45.0,78.6,88.4,62,Specialized coding model trained on 80+ programming languages with fill-in-the-middle support.,54.0,30.4,24.6,21.1,18.0,14.6,11.9
pixtral_large_123b,Pixtral Large 123B,Mistral AI,Vision-Language Multimodal,2024-11-18,123.0,123.0,128k,48.0,68.2,48.4,80.5,85.5,15,"Frontier multimodal vision-language model with native chart, document, and image reasoning.",264.6,143.5,113.9,95.9,80.3,62.8,48.6
mixtral_8x22b_instruct,Mixtral 8x22B Instruct,Mistral AI,Sparse MoE,2024-04-10,141.0,39.0,64k,46.8,66.8,46.9,79.2,84.0,22,141B total parameter sparse MoE activating 39B per token. High throughput and math competency.,302.4,163.6,129.6,109.1,91.2,71.0,54.8
mistral_nemo_12b,Mistral NeMo 12B,Mistral & NVIDIA,Dense General,2024-07-18,12.2,12.2,128k,38.8,55.0,37.4,70.8,74.8,88,Jointly trained by Mistral and NVIDIA; uses Tekken tokenizer for high multilingual token efficiency.,27.6,15.6,12.7,10.9,9.3,7.6,6.2
nemotron_3_ultra_550b,Nemotron 3 Ultra (550B MoE),NVIDIA,Enterprise MoE,2025-10-05,550.0,42.0,256k,52.8,75.0,56.4,87.5,89.8,18,NVIDIA flagship enterprise model optimized for TensorRT-LLM and vLLM inference engines.,1167.8,626.4,493.8,413.6,343.8,265.3,201.9
command_a_plus_218b,Command A+ (218B MoE),Cohere,Enterprise Agent MoE,2025-03-14,218.0,32.0,256k,50.4,71.8,53.0,84.0,87.2,20,"Cohere frontier open-weights model specialized in enterprise tool use, multi-step agents, and RAG.",470.6,256.0,203.4,171.7,144.0,112.9,87.7
kimi_k3_2_8t,Kimi K3 (2.8T MoE),Moonshot AI,Frontier Ultra-MoE,2026-01-25,2800.0,110.0,2M,59.7,85.6,69.2,96.0,95.5,14,Massive 2.8T MoE model with native 2M context window and state-of-the-art long-document comprehension.,5892.8,3136.6,2461.4,2053.3,1698.0,1298.0,975.3
glm_5_2_753b,GLM-5.2 (753B MoE),Zhipu AI,Frontier MoE,2025-12-18,753.0,48.0,1M,52.0,73.8,55.6,86.4,88.5,16,Open frontier MoE with 1M context window and leading multilingual agent orchestration.,1594.1,852.9,671.3,561.5,466.0,358.4,271.6
